img_id,rx1,ry1,rx2,ry2,scale,x_6,y_6,vis_6,x_7,y_7,vis_7,x_8,y_8,vis_8,x_9,y_9,vis_9,x_0,y_0,vis_0,x_1,y_1,vis_1,x_2,y_2,vis_2,x_3,y_3,vis_3,x_4,y_4,vis_4,x_5,y_5,vis_5,x_10,y_10,vis_10,x_11,y_11,vis_11,x_12,y_12,vis_12,x_13,y_13,vis_13,x_14,y_14,vis_14,x_15,y_15,vis_15,cat_name,act_name,act_id
10206,669,279,714,347,1.9569936126620335,653.0,382.0,1.0,682.0,325.0,1.0,671.2548,338.5729,0.0,711.7452,287.4271,0.0,646.0,546.0,1.0,646.0,461.0,1.0,635.0,382.0,1.0,670.0,382.0,1.0,702.0,430.0,1.0,683.0,493.0,1.0,731.0,400.0,1.0,728.0,373.0,1.0,709.0,324.0,1.0,654.0,326.0,1.0,645.0,384.0,1.0,656.0,421.0,1.0,bicycling,bicycling,780
8596,370,424,395,459,1.0322790320451152,351.0,517.0,0.0,375.0,467.0,0.0,377.6454,458.0055,0.0,387.3546,424.9945,0.0,388.0,601.0,1.0,404.0,546.0,1.0,355.0,517.0,1.0,347.0,517.0,0.0,360.0,550.0,1.0,319.0,580.0,1.0,394.0,510.0,1.0,390.0,502.0,1.0,389.0,469.0,1.0,360.0,464.0,0.0,365.0,479.0,0.0,380.0,492.0,1.0,sports,"tennis, doubles",536
1721,399,117,529,309,5.5648956863538785,375.0,581.0,1.0,410.0,291.0,1.0,411.2068,289.2569,0.0,516.7932,136.7431,0.0,,,,,,,310.0,581.0,1.0,440.0,581.0,1.0,,,,,,,349.0,392.0,1.0,234.0,466.0,1.0,304.0,278.0,1.0,516.0,304.0,1.0,561.0,452.0,1.0,578.0,428.0,0.0,sports,boxing,113
8005,911,505,1019,593,3.3435023553154557,718.0,609.0,1.0,897.0,578.0,0.0,913.7417,570.8602,0.0,1016.2583,527.1398,0.0,360.0,726.0,0.0,530.0,670.0,1.0,718.0,638.0,1.0,718.0,579.0,1.0,539.0,479.0,1.0,360.0,511.0,0.0,792.0,599.0,0.0,800.0,649.0,0.0,903.0,641.0,0.0,891.0,514.0,1.0,762.0,541.0,1.0,730.0,485.0,1.0,sports,rock climbing,471
1748,292,88,378,193,3.257375630780091,462.0,341.0,0.0,417.0,186.0,0.0,382.0,166.0,0.0,287.0,114.0,0.0,,,,471.0,454.0,0.0,495.0,326.0,0.0,428.0,356.0,0.0,338.0,475.0,0.0,,,,347.0,165.0,0.0,381.0,198.0,0.0,445.0,141.0,0.0,388.0,231.0,0.0,331.0,307.0,0.0,295.0,250.0,0.0,sports,boxing,113
4531,701,137,789,262,3.668861403760028,691.0,570.0,1.0,724.0,302.0,0.0,732.7271,259.4034,0.0,757.2729,139.5966,0.0,816.0,946.0,1.0,867.0,732.0,1.0,720.0,571.0,1.0,662.0,569.0,1.0,641.0,778.0,1.0,518.0,994.0,1.0,715.0,530.0,1.0,626.0,424.0,1.0,725.0,302.0,1.0,723.0,302.0,0.0,720.0,403.0,0.0,747.0,494.0,0.0,sports,track and field,331
2062,804,427,846,473,1.4949515042301538,753.0,511.0,0.0,814.0,458.0,0.0,804.8496,464.6548,0.0,845.1504,435.3452,0.0,663.0,560.0,1.0,707.0,522.0,1.0,757.0,519.0,0.0,748.0,502.0,1.0,693.0,486.0,1.0,662.0,525.0,1.0,768.0,399.0,1.0,801.0,429.0,1.0,815.0,443.0,0.0,812.0,473.0,1.0,768.0,475.0,1.0,740.0,447.0,1.0,sports,rock climbing,135
1137,1075,76,1185,203,4.032357127041205,1101.0,651.0,1.0,1132.0,302.0,1.0,1130.8271,206.7009,0.0,1129.1729,72.2991,0.0,,,,1048.0,919.0,1.0,980.0,651.0,1.0,1221.0,651.0,1.0,1134.0,961.0,1.0,,,,883.0,643.0,1.0,904.0,473.0,1.0,993.0,274.0,1.0,1271.0,329.0,1.0,1260.0,546.0,1.0,1242.0,693.0,1.0,walking,walking,944
10669,908,295,980,391,2.88,992.0,570.0,1.0,969.0,404.0,1.0,962.2027,387.4146,0.0,925.7973,298.5854,0.0,1017.0,790.0,0.0,974.0,692.0,0.0,1014.0,566.0,1.0,969.0,573.0,1.0,959.0,697.0,1.0,1019.0,797.0,1.0,1167.0,490.0,1.0,1083.0,449.0,1.0,1005.0,399.0,1.0,933.0,409.0,1.0,871.0,468.0,1.0,788.0,521.0,1.0,sports,rollerblading,752
10386,784,200,856,289,2.7474497265646187,777.0,427.0,1.0,801.0,287.0,0.0,801.3114,286.3035,0.0,838.6886,202.6965,0.0,799.0,658.0,1.0,734.0,562.0,0.0,754.0,423.0,1.0,799.0,431.0,1.0,758.0,494.0,1.0,723.0,615.0,0.0,721.0,361.0,1.0,727.0,324.0,1.0,758.0,279.0,1.0,844.0,294.0,0.0,871.0,322.0,1.0,836.0,286.0,1.0,sports,"softball, general",736
